[2024-03-12 15:07:59:0935][Normal] [ThreadID:22732][void __thiscall CSendMsgThread::HandleLogon(const class CLoginRequest *)]Request logon: Account=18888888888, Password=*****, Status=16412228, LoginType=1.
[2024-03-12 15:07:59:0940][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:00:0942][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:01:0945][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:02:0948][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:03:0951][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:04:0954][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:05:0956][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:06:0957][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:07:0958][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:08:08:0961][Warning] [ThreadID:22648][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
