[2024-03-12 16:21:01:0296][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:02:0298][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:03:0301][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:04:0304][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:05:0346][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:06:0349][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:07:0353][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:08:0356][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:09:0359][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:10:0362][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:11:0366][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:12:0369][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:13:0370][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:14:0371][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:15:0375][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:16:0377][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:17:0379][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:18:0381][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:19:0384][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:20:0387][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:21:0390][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:22:0391][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 16:21:23:0392][Warning] [ThreadID:19104][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
